date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:38	60621/60621	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-eccd%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-08.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-08.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:39	84056/84056	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-14858%22	https://moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-09.jpg	moversco-demo.pbminfotech.com/html-demo/images/about-us-03/service/service-09.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/about-us-03.html)
14:45:40	78159/78159	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1314f%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/our-team.html)
14:45:41	71457/71457	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-11721%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-04.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-04.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/our-team.html)
14:45:43	129034/129034	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1f80a%22	https://moversco-demo.pbminfotech.com/html-demo/images/team/team-01-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/team/team-01-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/team-details.html)
14:45:43	108542/108542	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1a7fe%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-01.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-01.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:44	75787/75787	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1280b%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-02.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-02.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:45	94276/94276	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-17044%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-03.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-03.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:46	70595/70595	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-113c3%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-04.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-04.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:47	79426/79426	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-13642%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-05.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-05.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:48	90139/90139	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1601b%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-06.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-06.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:49	85653/85653	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-14e95%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-07.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-07.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:50	75706/75706	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-127ba%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-08.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-08.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:51	64019/64019	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-fa13%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-09.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-09.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:52	92035/92035	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-16783%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-10.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-10.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:53	79065/79065	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-134d9%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-11.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-11.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:54	92741/92741	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-16a45%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-12.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-12.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-1.html)
14:45:55	118030/118030	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-1cd0e%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-01-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-01-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:45:56	80733/80733	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-13b5d%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-02-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-02-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
14:45:57	101994/101994	---M--	200	added ('OK')	image/jpeg	etag:%226582676c-18e6a%22	https://moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-03-new.jpg	moversco-demo.pbminfotech.com/html-demo/images/portfolio/portfolio-03-new.jpg	(from https://moversco-demo.pbminfotech.com/html-demo/projects-style-2.html)
